title,company,location,description,redirect_url,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,company.display_name,location.display_name,score,clean_location,salary_avg,company_clean
Project Administrator,Future Engineering Recruitment Ltd,"Barnet, Hertfordshire","Project Administrator Barnet £38,000 - £40,000  Travel Allowance  Progression  Pension  Private Healthcare  Holidays  'Immediate Start'Project AdministratorBarnet£38,000 - £40,000  Travel Allowance  Progression  Pension  Private Healthcare  Holidays  'Immediate Start'Join a long-standing, reputable engineering and construction main contractor as a Project Administrator, supporting the delivery of a new high-value project in Barnet. Reporting directly to a Project Director, you&x2019;ll play a v…",https://www.adzuna.co.uk/jobs/details/5411808346?utm_medium=api&utm_source=0aad2298,permanent,,38000.0,40000.0,0,,,80,"Barnet, Hertfordshire",39000.0,future engineering
Compliance Administrator - Temp Role - £18.06p/h,Ashdown Group,"Birmingham, West Midlands","A successful business based in Edgbaston, Birminghamis looking for a Compliance Administratorto join their team on a temporary, project-based contract. Please note, this is a full-time, office-based role, Monday to Friday, and would suit someone with strong organisational skills and excellent attention to detail. This role has no fixed end date, it is for the duration of a specific projectand the length of the contract will depend on how quickly and efficiently the work is completed. It offers …",https://www.adzuna.co.uk/jobs/details/5401808843?utm_medium=api&utm_source=0aad2298,contract,full_time,37564.0,37564.0,0,,,80,"Birmingham, West Midlands",37564.0,ashdown group
Project Administrator,Mortgage Brain,"London, UK","Job Title: Project Administrator Location: London & Home working - hybrid working Salary: Dependant on experience Job Type: Full Time, Fixed Term - 12 Months About us: For over three decades, Mortgage Brain has been at the forefront of mortgage technology in the UK, committed to addressing the complexities faced by mortgage intermediaries and lenders. Our vision is to reimagine mortgage distribution, bringing about a dynamic shift that unites all key stakeholders, giving borrowers certainty ear…",https://www.adzuna.co.uk/jobs/details/5381505013?utm_medium=api&utm_source=0aad2298,contract,full_time,37108.34,37108.34,1,,,100,"London, UK",37108.34,mortgage brain
Senior Administrator,Carter Jonas,"Oxford, Oxfordshire","Senior Administrator Location: Oxford Job Type: Full time Contract Type: Permanent Are you an organised professional with a passion for delivering exceptional administrative support? We are looking for someone to play a key role in ensuring the smooth operation of our rural land and property advisory services. This position involves coordinating communication between internal teams and external clients, maintaining high standards of service, and supporting day-to-day operations through tasks su…",https://www.adzuna.co.uk/jobs/details/5414122246?utm_medium=api&utm_source=0aad2298,permanent,full_time,36951.12,36951.12,1,,,80,"Oxford, Oxfordshire",36951.12,carter jonas
Corporate Governance Co-ordinator - Welsh Essential,Social Care Wales,"Grangetown, Cardiff","Cydlynydd Llywodraethu Corfforaethol – Cymraeg Hanfodol Caerdydd neu Gyffordd Llandudno (polisi gweithio hybrid ar waith) Amdanom Ni Mae Gofal Cymdeithasol Cymru’n darparu arweinyddiaeth ac arbenigedd ym maes gofal cymdeithasol a’r blynyddoedd cynnar yng Nghymru. Ein gweledigaeth yw gwneud gwahaniaeth cadarnhaol i ofal a chymorth i blant, oedolion, a’u teuluoedd a’u gofalwyr. I wneud hyn, rydym yn arwain ar ddatblygu a rheoleiddio'r gweithlu gofal cymdeithasol, gwella gwasanaethau, data ac ymch…",https://www.adzuna.co.uk/jobs/land/ad/5395923271?se=vJsfYNKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=AA86A04D258F4D90ABB984B1BB7FC99B0642A209,contract,part_time,30616.0,33103.0,0,,,50,"Grangetown, Cardiff",31859.5,social care wales
System Support Assistant,Shared Services Partnership,"Totton, Southampton","Job Details: Job Reference: HCC622222 Salary Range: £25,186 - £26,244 pro-rata, per annum (actual salary £12,593 - £13,122 per annum) Work Location: Forest Court Care Home, Totton Hours per week: 18.5 Contract Type: Permanent Closing Date: 5 October 2025 The Role: As a System Support Assistant at Forest Court Care Home you’ll be an integral part of our small, friendly, supportive team, carrying out vital administrative tasks, ensuring the smooth running of our home. What you’ll do: Resolve IT q…",https://www.adzuna.co.uk/jobs/details/5394171043?utm_medium=api&utm_source=0aad2298,permanent,,30818.22,30818.22,1,,,55,"Totton, Southampton",30818.22,shared services partnership
Administrator,Diocese of Oxford,"Ford, Aylesbury","Administrator Are you highly organised, people-focused, and looking for a role where your skills really make a difference Join the team at the Buckingham Archdeaconry Office, where every day you will play a part in supporting clergy and parishes at the heart of the community. Position: Administrator (supporting the Buckingham Archdeaconry Office) Location: Aylesbury, HP17 8RZ Hours: Part-time, 12 hours per week, to be worked across three 4-hour days. The exact days and times will be agreed with…",https://www.adzuna.co.uk/jobs/land/ad/5389500859?se=vJsfYNKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=24F791D215F56B7B04F29363CFBE8F29B4728483,permanent,part_time,29251.0,31501.0,0,,,50,"Ford, Aylesbury",30376.0,diocese of oxford
Admin Support Officer,JOB SWITCH LTD,"York, North Yorkshire","Supporting York and North Yorkshire Combined Authority. Please note this role requires the candidate to have lived in the UK for the last 3 years, as Police Vetting is required. Job Summary: The core focus of this role is to provide dedicated administrative and secretarial support to the Leadership team. The postholder will be responsible for managing the Leadership team’s schedule, correspondence, and engagements, ensuring all activities are well-organised and professionally executed. Key Resp…",https://www.adzuna.co.uk/jobs/details/5384420984?utm_medium=api&utm_source=0aad2298,,,29120.0,31200.0,0,,,25,"York, North Yorkshire",30160.0,job switch
Admin Support Officer,Talent Dice Ltd,"West Lutton, Malton","Supporting York and North Yorkshire Combined Authority. Please note this role requires the candidate to have lived in the UK for the last 3 years, as Police Vetting is required. Job Summary: The core focus of this role is to provide dedicated administrative and secretarial support to the Leadership team. The postholder will be responsible for managing the Leadership team’s schedule, correspondence, and engagements, ensuring all activities are well-organised and professionally executed. Key Resp…",https://www.adzuna.co.uk/jobs/land/ad/5384394518?se=vJsfYNKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=828896406E9FAFC8E0E6976172C7D84321B8B5BA,contract,,29120.0,31200.0,0,,,55,"West Lutton, Malton",30160.0,talent dice
Examinations Officer,University College Birmingham,"Birmingham, West Midlands","Job Title: Examinations Officer Location: Birmingham Salary: £28,031 - £30,378 per annum - SS3 Job type: Fixed term up to 12 months, Full Time UCB is an equal opportunities employer. We are TEF rated Silver, with a Good Ofsted rating. The Role: University College Birmingham is looking for an Examinations Officer to join our Academic Registry as part of a dedicated and highly skilled Examinations team. We are a small but key team at UCB who are looking to expand as the University grows. The succ…",https://www.adzuna.co.uk/jobs/details/5386946374?utm_medium=api&utm_source=0aad2298,contract,full_time,30000.0,30000.0,0,,,30,"Birmingham, West Midlands",30000.0,university college birmingham
