title,company,location,description,redirect_url,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,company.display_name,location.display_name,score,clean_location,salary_avg,company_clean
VP Engineering - Head of Software Development. AI Martech SaaS,RecruitmentRevolution.com,"Birmingham, West Midlands","Welcome to ASK BOSCO, thanks for stopping by… Let’s pause for a second. Before we talk perks, equity, or growth stats, let’s flip the script. This isn’t about us. Not yet. This is about you: • What’s driving your search right now, what’s prompting you to take the next big step in your career? • Are you looking for a role where you can lead a high-performing team, shape how technology is applied, and make a direct impact on growth and customer success? • Do you want to work in a fast-paced, idea…",https://www.adzuna.co.uk/jobs/land/ad/5395856952?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=62124E96EB4B19DC4C9CB9F8B4038AD18FBDB3E8,permanent,full_time,120000.0,120000.0,0,,,10.5,"Birmingham, West Midlands",120000.0,recruitmentrevolutioncom
VP Engineering - Head of Software Development. AI Martech SaaS,Recruitment Revolution,"Ladywood, Birmingham","Welcome to ASK BOSCO®, thanks for stopping by… Let's pause for a second. Before we talk perks, equity, or growth stats, let's flip the script. This isn't about us. Not yet. This is about you: • What's driving your search right now, what's prompting you to take the next big step in your career? • Are you looking for a role where you can lead a high-performing team, shape how technology is applied, and make a direct impact on growth and customer success? • Do you want to work in a fast-paced, ide…",https://www.adzuna.co.uk/jobs/land/ad/5395849021?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=D799A8840170F0E5D90D04788D4927FA5E0C4082,permanent,,100000.0,100000.0,0,,,10.5,Ladywood,100000.0,recruitment revolution
ERP Change Manager,Kingdom People,"Balsall Heath, Birmingham","ERP/Salesforce Change Manager required. Due to ccontinued project wins my client, a superb Change Consultancy are looking for a Change Manager with specific experiene around ERP and Salesforce Change Programmes. We have a fantastic opportunity to expand our clients team. They are seeking an experienced, structured, warm, team player Change Manager to lead the change workstream of a global ERP and Salesforce transformation for one of our clients. This role is critical in ensuring business adopti…",https://www.adzuna.co.uk/jobs/land/ad/5400187962?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=3C2B499505769A754CFE3227466A17AA7F7A8DE9,,full_time,60000.0,80000.0,0,,,4.8,Balsall Heath,70000.0,kingdom people
Senior Data Analyst,Matchtech Group Plc,"Balsall Heath, Birmingham",Job title: Data Analyst Engagement Type: PAYE - on payroll Location: Homebased Start Date: 03.09.2025 End date: 31.12.2025 Hours per week: 37.5 hours Max Number of days: 5 days a week Charge Rate per hour: £600 days rate Is a qualification required for this role? Please see JD Eligible for Expenses? No Notice Period Atkins to Agency for termination of the Contractor Worker: 4 weeks Notice Period Agency to Atkins for termination of the Contractor Worker: 4 weeks Vetting Required: BPSS Job Descri…,https://www.adzuna.co.uk/jobs/land/ad/5378425625?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=7254E0824456540D3CF85B57385FE469FDB6F3AC,contract,,64220.51,64220.51,1,,,34.6,Balsall Heath,64220.51,matchtech group plc
Data Privacy Analyst,Hogan Lovells,"Birmingham, West Midlands","Keen to become part of a truly global, collaborative team of professionals? Your journey begins here. Job Title Data Privacy Analyst Department Global Privacy Office Office Location London or Birmingham Reporting To Senior Manager, Data Protection Compliance and DPO Working Hours 35 hours per week, 9:30am to 5:30pm but additional hours may be required. We are happy to consider agile and flexible working patterns. Our approach to hybrid working allows for up to 40% of time working from home and …",https://www.adzuna.co.uk/jobs/details/5366506592?utm_medium=api&utm_source=0aad2298,,full_time,63410.48,63410.48,1,,,28.7,"Birmingham, West Midlands",63410.48,hogan lovells
SQL BI Developer / Analyst – Reputable Midlands client,Integrity Recruitment Solutions Limited,"Balsall Heath, Birmingham","SQL BI Developer / Analyst – Reputable Midlands client A reputable Midlands employer, my client boasts undoubted pedigree and a strong global reputation. The sector and competition continue to evolve, so they continue to invest heavily in IT transformation programmes, with Business Intelligence (BI) and Management Information (MI) forming a crucial part of that. Resultantly, we have an exciting opportunity for an established BI Developer / Analyst that can operate as a key data analyst, working…",https://www.adzuna.co.uk/jobs/land/ad/5414848518?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=2EDFB8F4AC642F0DB79BD4B078ED78FFEA85CBD7,permanent,full_time,62839.31,62839.31,1,,,61.7,Balsall Heath,62839.31,integrity solutions
Senior Business Intelligence Analyst,Pinewood.AI,"Chelmsley Wood, Birmingham","We are seeking a skilled Senior Business Intelligence Analyst to join our team and contribute to the creation of a large-scale, multi-tenanted data solution. As a Senior BI Analyst, you will be responsible for understanding customer needs and translating them into actionable insights through Power BI reports and dashboards. This role involves gathering business requirements, analysing data, and providing reports that help guide key business decisions. We’re looking for someone with strong comme…",https://www.adzuna.co.uk/jobs/details/5403271769?utm_medium=api&utm_source=0aad2298,,full_time,50000.0,70000.0,0,,,33.7,Chelmsley Wood,60000.0,pinewoodai
Support Analyst - Azure Data Factory,Ntt Data,"Stechford, Birmingham","The team you';ll be working with: The Azure Data Factory Support Analyst will be responsible for undertaking support, maintenance and development tasks on the ADF and DWH estate for a large NTT DATA client in the public sector. This role will lead the service, from taking transition of the estate from the current team to helping establish a fully fleshed out service. The person playing this role will build working relationships with key client, incumbent and NTT DATA stakeholders, including oth…",https://www.adzuna.co.uk/jobs/details/5293412342?utm_medium=api&utm_source=0aad2298,,full_time,59855.07,59855.07,1,,,5.7,Stechford,59855.07,ntt data
Senior Data Analyst,Gattaca PBS,"Birmingham, West Midlands",Job title: Data Analyst Engagement Type: PAYE - on payroll Location: Homebased Start Date: 03.09.2025 End date: 31.12.2025 Hours per week: 37.5 hours Max Number of days: 5 days a week Charge Rate per hour: £600 days rate Is a qualification required for this role? Please see JD Eligible for Expenses? No Notice Period Atkins to Agency for termination of the Contractor Worker: 4 weeks Notice Period Agency to Atkins for termination of the Contractor Worker: 4 weeks Vetting Required: BPSS Job Descri…,https://www.adzuna.co.uk/jobs/details/5379259703?utm_medium=api&utm_source=0aad2298,,full_time,56963.92,56963.92,1,,,34.6,"Birmingham, West Midlands",56963.92,gattaca pbs
Data Architect and Migration Specialist,TechBiz Global GmbH,"Birmingham, West Midlands","At TechBiz Global, we are providing recruitment service to our TOP clients from our portfolio. We are currently seeking a Data Architect and Migration Specialist to join one of our clients ' teams in Riyadh . If you're looking for an exciting opportunity to grow in an innovative environment, this could be the perfect fit for you. NOTE: This is a one-year contract with relocation to Riyadh , relocation costs are covered by the client. About the Role: We are seeking an experienced Data Architect …",https://www.adzuna.co.uk/jobs/details/5399620921?utm_medium=api&utm_source=0aad2298,contract,,54503.96,54503.96,1,,,6.8999999999999995,"Birmingham, West Midlands",54503.96,techbiz global gmbh
